Timestamp,Which course are you currently enrolled in?,FF_Influence_Activity,FF_Working__Activity,FF_Heard_CCM,TWED_Affordable,TWED_Location,TWED_Programs,TWED_Online,TWED_FF,TWED_Faculty,TWED_Repuation,TWED_Scholarships,TWED_Transfer,TWED_Class_Size,TWED_ExtraC,G_Programs,RE_GuidanceHS,RE_IT_Website,RE_Admissions,RE_GuidanceCCM,RE_Employer,RE_Other,G_WebDev,G_Cyber,G_App,G_Data,G_ML_AI,G_CMP,G_GameD,G_Hardware,Gender,R/E,Age
2024/09/10 10:47:35 AM AST,CMP 126 Computer Technology and Applications,1.0,,1,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,Liberal Arts,1,1,1,1,0,Don't recall,1,1,0,0,0,0,0,0,Prefer not to say,Hispanic or Latino;Black/African American;White/Caucasian;Multi-Racial,19-20
2024/09/10 11:00:05 AM AST,CMP 126 Computer Technology and Applications,1.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,child psychology ,0,0,0,0,0,0,0,1,1,1,1,1,0,0,Woman,Hispanic or Latino,19-20
2024/09/10 11:02:51 AM AST,CMP 126 Computer Technology and Applications,,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Broadcasting Arts and Technology,1,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,1,0,1,0,1,1,1,1,Man,Choose not to reply,18 and younger
2024/09/10 11:05:25 AM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,analyst,0,0,Don't recall,0,1,0,0,0,0,1,0,0,1,0,Man,Hispanic or Latino,19-20
2024/09/10 8:37:36 PM AST,CMP 101 Computer Information Literacy,1.0,,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Journalism,0,0,1,1,Don't recall,Don't recall,0,0,0,0,0,0,0,0,Woman,White/Caucasian,19-20
2024/09/10 9:29:27 PM AST,CMP 101 Computer Information Literacy,2.0,1.0,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,Liberal Arts,1,1,0,1,0,0,1,0,1,0,0,0,1,0,Woman,White/Caucasian,19-20
2024/09/10 10:52:37 PM AST,CMP 101 Computer Information Literacy,2.0,1.0,1,1.0,1.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Early Childhood Education,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Woman,Hispanic or Latino,19-20
2024/09/11 10:54:10 AM AST,CMP 101 Computer Information Literacy,0.0,0.0,1,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,Nursing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Woman,Hispanic or Latino;Black/African American,18 and younger
2024/09/11 12:40:52 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,Liberal Arts,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Woman,White/Caucasian,19-20
2024/09/11 7:06:45 PM AST,CMP 101 Computer Information Literacy,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,Liberal Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Woman,White/Caucasian,19-20
2024/09/11 8:16:57 PM AST,CMP 101 Computer Information Literacy,2.0,1.0,1,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Nursing,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Woman,Asian,25-34
2024/09/12 9:34:01 AM AST,CMP 135 Computer Concepts with Applications,0.0,0.0,0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,Radiography,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Woman,Hispanic or Latino;White/Caucasian,21-24
2024/09/12 9:34:06 AM AST,CMP 135 Computer Concepts with Applications,0.0,0.0,0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,Radiography,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Woman,Hispanic or Latino;White/Caucasian,21-24
2024/09/12 10:29:04 AM AST,CMP 135 Computer Concepts with Applications,0.0,0.0,1,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Radiography,Don't recall,0,0,0,0,0,0,0,0,0,0,0,0,0,Woman,White/Caucasian,21-24
2024/09/12 11:29:38 AM AST,CMP 135 Computer Concepts with Applications,0.0,0.0,1,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Radiography,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Non-binary,White/Caucasian,18 and younger
2024/09/12 11:30:15 AM AST,CMP 135 Computer Concepts with Applications,1.0,1.0,0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Exercise Science,0,0,Don't recall,Don't recall,0,0,0,0,0,0,1,0,0,0,Man,White/Caucasian,19-20
2024/09/12 11:30:18 AM AST,CMP 135 Computer Concepts with Applications,2.0,1.0,1,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Woman,White/Caucasian,18 and younger
2024/09/12 11:30:21 AM AST,CMP 135 Computer Concepts with Applications,0.0,0.0,1,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,Exercise Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Man,White/Caucasian,18 and younger
2024/09/12 11:30:23 AM AST,CMP 135 Computer Concepts with Applications,0.0,0.0,1,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,Radiography,0,0,0,0,0,0,1,0,1,0,1,1,1,1,Woman,Hispanic or Latino,18 and younger
2024/09/12 11:30:37 AM AST,CMP 135 Computer Concepts with Applications,0.0,0.0,1,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,Engineering Science,0,0,0,0,0,0,0,0,0,1,1,1,0,1,Man,Asian;Black/African American,19-20
2024/09/12 11:30:41 AM AST,CMP 135 Computer Concepts with Applications,0.0,0.0,1,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Radiography,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Woman,White/Caucasian,18 and younger
2024/09/12 11:30:44 AM AST,CMP 135 Computer Concepts with Applications,2.0,0.0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Engineering Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Man,Asian;White/Caucasian,19-20
2024/09/12 11:30:59 AM AST,CMP 135 Computer Concepts with Applications,0.0,0.0,0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Man,White/Caucasian,25-34
2024/09/12 11:31:09 AM AST,CMP 101 Computer Information Literacy,0.0,0.0,1,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Radiography,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Man,Hispanic or Latino,25-34
